PDB_Code,Actual,Predicted,Correct,Prob_HEME,Prob_FAD,Prob_Zn2,Prob_Cu1,Prob_Cofactorless
8Z44,FAD,FAD,1,0.00041106524,0.99793506,0.0011280064,0.00028540246,0.00024052376
7OG7,Cu+,HEME,0,0.7296551,0.0059117,0.17484285,0.0461245,0.04346591
2FT7,Cu+,Cu+,1,6.846952e-05,4.0769028e-05,0.00025047976,0.99876285,0.0008774824
3P6N,HEME,HEME,1,0.99799466,0.00019442475,0.0011398494,0.00033171603,0.0003393283
1FT7,Zn2+,Zn2+,1,0.013224196,0.041052468,0.90447414,0.0022430473,0.039006136
3WEC,HEME,HEME,1,0.9926844,0.004842899,0.0011557394,0.00053044315,0.0007864906
1A8Z,Cu+,Cu+,1,0.00034771787,0.0009178995,0.0019005991,0.99516875,0.0016649981
4NVN,HEME,HEME,1,0.99963486,0.000102876926,5.726176e-05,2.5817997e-05,0.00017913946
6UGR,Zn2+,Zn2+,1,2.8557244e-05,5.212287e-05,0.9998086,1.5920092e-05,9.481581e-05
7G3B,Zn2+,Zn2+,1,0.00017519941,0.00032298377,0.9990068,0.0002626746,0.00023233648
5MSZ,Cu+,Zn2+,0,0.015945304,0.056990765,0.5667189,0.07553469,0.2848104
8Z45,FAD,FAD,1,0.00041106524,0.99793506,0.0011280064,0.00028540246,0.00024052376
1YSO,Zn2+,Cu+,0,8.158408e-05,0.0001395821,0.00043358104,0.99918324,0.00016197121
7RKR,HEME,HEME,1,0.9959455,0.003589504,0.0003922909,1.9720801e-05,5.2969375e-05
7OR2,FAD,FAD,1,0.0010759847,0.9970407,0.00022427895,7.005998e-05,0.0015889364
4MAI,Cu+,Cofactorless,0,0.006922031,0.002005086,0.012346376,0.009126917,0.96959955
8EWQ,HEME,HEME,1,0.9950157,0.0023795033,0.0023321358,4.407891e-05,0.00022866367
3NT0,Cu+,Cu+,1,0.0018284963,0.027127976,0.01817956,0.9510921,0.0017718034
1BXA,Cu+,Cu+,1,8.695717e-05,5.2547035e-05,8.034043e-05,0.9995937,0.00018654058
4DPC,Cu+,Cu+,1,2.4764564e-05,5.9064955e-06,8.578707e-05,0.99976486,0.00011866489
7UHI,Zn2+,Zn2+,1,0.23268189,0.07245224,0.51550657,0.06811088,0.11124843
3QM8,HEME,HEME,1,0.79245573,0.00034474084,0.0511068,0.0029459717,0.15314677
1H3N,Zn2+,FAD,0,0.047404375,0.47940016,0.42598405,0.004625619,0.042585798
2CAK,Cu+,Cu+,1,0.00036484128,0.00046523364,0.0019526304,0.9949772,0.0022400417
1D3S,HEME,HEME,1,0.99381316,0.00014991524,0.0030514423,0.00027017988,0.002715307
2YYM,FAD,HEME,0,0.59355533,0.40240067,0.0018007195,0.00012057455,0.0021227275
2XV2,Cu+,Cu+,1,4.5224602e-05,3.3969423e-05,9.841628e-05,0.9991866,0.00063585036
7PQ1,HEME,HEME,1,0.99455875,0.0002235027,0.0011039834,4.5326513e-05,0.004068428
1YZP,HEME,HEME,1,0.99232787,0.00084603037,0.004767675,0.0008581855,0.0012002232
6KM5,Zn2+,Zn2+,1,2.6226047e-05,5.2458774e-05,0.99982566,1.1398297e-05,8.4308966e-05
3P6U,HEME,HEME,1,0.9982222,0.00015384138,0.0009068374,0.00031733478,0.0003997819
5NS5,Zn2+,Zn2+,1,0.015652638,0.00064588233,0.9767244,0.0018189261,0.0051581566
2J18,HEME,HEME,1,0.9878036,0.0015608886,0.0025106238,0.006317148,0.0018077593
